,default,Synonyms,Shuffle,1Syn2Shuff,2Syn1Shuff
LogisticRegression,0.7283246814535158,0.7242469790745654,0.726545829649278,0.7242469790745654,0.7242469790745654
DecisionTree,0.6176970268994809,0.6098290598290598,0.5982964927792513,0.609840848806366,0.6059917477158856
LinearSVC,0.7510825861255309,0.7503743000294725,0.759602122015915,0.7503743000294725,0.7503743000294725
NB,0.7387711184521,0.7326996758031241,0.7303890362511053,0.7326996758031241,0.7326996758031241
RandomForest,0.674261444077395,0.6582051282051282,0.6682021809608016,0.6520571765399351,0.6466872973769525
